id;nome_revendedora;rua;numero;bairro;cidade;estado;cep;status
1;Patrícia Moreira;Rua Konrad Adenauer;5777;Tarumã;Curitiba;PR;82821-245;Ativa
2;Ana Alves;Rua Padre Anchieta;2392;Bigorrilho;Curitiba;PR;80730-203;Ativa
3;Simone Moreira;Avenida Brasil;470;Centro;Foz do Iguaçu;PR;85851-918;Ativa
4;Cláudia Souza;Avenida Brasil;5909;Centro;Cascavel;PR;85801-356;Ativa
5;Camila Alves;Rua Saldanha Marinho;3955;Centro;Guarapuava;PR;85010-367;Ativa
6;Larissa Alves;Rua Brigadeiro Franco;3459;Centro;Curitiba;PR;80250-801;Ativa
7;Cristiane Carvalho;Avenida República Argentina;5284;Água Verde;Curitiba;PR;80620-285;Ativa
8;Simone Mendes;Rua Engenheiro Ostoja Roguski;3266;Jardim Botânico;Curitiba;PR;80210-496;Ativa
9;Kelly Teixeira;Rua Pernambuco;1960;Centro;Londrina;PR;86020-964;Inativa
10;Luciana Ferreira;Rua XV de Novembro;1742;Centro;Guarapuava;PR;85010-779;Ativa
11;Ana Oliveira;Avenida Ayrton Senna da Silva;711;Gleba Palhano;Londrina;PR;86050-851;Ativa
12;Beatriz Rocha;Rua Professor Pedro Viriato Parigot de Souza;4071;Mossunguê;Curitiba;PR;81200-629;Ativa
13;Simone Souza;Avenida Cândido de Abreu;2719;Centro Cívico;Curitiba;PR;80530-718;Ativa
14;Simone Moraes;Rua Professor Pedro Viriato Parigot de Souza;2006;Mossunguê;Curitiba;PR;81200-009;Ativa
15;Juliana Oliveira;Avenida República Argentina;3821;Água Verde;Curitiba;PR;80620-275;Ativa
16;Natália Ribeiro;Avenida Brasil;2096;Centro;Foz do Iguaçu;PR;85851-703;Ativa
17;Tainá Barbosa;Rua XV de Novembro;1026;Centro;Guarapuava;PR;85010-951;Ativa
18;Débora Ferreira;Avenida Sete de Setembro;499;Rebouças;Curitiba;PR;80230-172;Ativa
19;Beatriz Barbosa;Avenida República Argentina;987;Água Verde;Curitiba;PR;80620-073;Ativa
20;Juliana Gomes;Avenida Cândido de Abreu;2981;Centro Cívico;Curitiba;PR;80530-754;Ativa
21;Adriana Lopes;Avenida Presidente Kennedy;2058;Portão;Curitiba;PR;80610-220;Ativa
22;Beatriz Teixeira;Avenida Cândido de Abreu;5478;Centro Cívico;Curitiba;PR;80530-618;Ativa
23;Ana Vieira;Avenida Tiradentes;3808;Zona 01;Maringá;PR;87013-414;Ativa
24;Elisângela Ferreira;Avenida Tiradentes;2735;Zona 01;Maringá;PR;87013-684;Ativa
25;Renata Vieira;Rua Itupava;2447;Alto da XV;Curitiba;PR;80040-835;Ativa
26;Paula Souza;Rua Imaculada Conceição;4949;Prado Velho;Curitiba;PR;80215-880;Ativa
27;Tatiane Ribeiro;Rua Brigadeiro Franco;4256;Centro;Curitiba;PR;80250-014;Ativa
28;Ana Gomes;Rua Balduíno Taques;348;Centro;Ponta Grossa;PR;84010-375;Inativa
29;Luciana Monteiro;Avenida Brasil;3430;Zona 01;Maringá;PR;87013-555;Em prospecção
30;Isabela Mendes;Avenida Brasil;5497;Zona 01;Maringá;PR;87013-929;Ativa
31;Camila Correia;Rua Padre Anchieta;1976;Bigorrilho;Curitiba;PR;80730-557;Em prospecção
32;Mariana Vieira;Avenida São Paulo;2570;Zona 01;Maringá;PR;87013-220;Ativa
33;Larissa Correia;Rua Brigadeiro Franco;2166;Centro;Curitiba;PR;80250-066;Em prospecção
34;Bruna Cardoso;Rua Itupava;2953;Alto da XV;Curitiba;PR;80040-466;Ativa
35;Letícia Castro;Rua Itupava;858;Alto da XV;Curitiba;PR;80040-775;Inativa
36;Patrícia Rodrigues;Avenida Tiradentes;1086;Zona 01;Maringá;PR;87013-967;Ativa
37;Daniela Lopes;Rua Barão do Rio Branco;1632;Centro;Cascavel;PR;85801-694;Ativa
38;Renata Costa;Rua Saldanha Marinho;4074;Centro;Guarapuava;PR;85010-565;Inativa
39;Bruna Freitas;Avenida das Torres;5397;São José dos Pinhais;São José dos Pinhais;PR;83005-850;Ativa
40;Raquel Ribeiro;Rua Saldanha Marinho;103;Centro;Guarapuava;PR;85010-903;Ativa
41;Jéssica Correia;Rua XV de Novembro;333;Centro;São José dos Pinhais;PR;83005-096;Ativa
42;Ana Silva;Rua Konrad Adenauer;4417;Tarumã;Curitiba;PR;82821-340;Ativa
43;Jéssica Carvalho;Rua Itupava;4128;Alto da XV;Curitiba;PR;80040-913;Em prospecção
44;Tatiane Cardoso;Rua XV de Novembro;1388;Centro;São José dos Pinhais;PR;83005-115;Ativa
45;Raquel Vieira;Avenida Brasil;1398;Centro;Foz do Iguaçu;PR;85851-351;Ativa
46;Amanda Rodrigues;Rua XV de Novembro;1242;Centro;São José dos Pinhais;PR;83005-990;Ativa
47;Rosana Silva;Rua Brigadeiro Franco;1660;Centro;Curitiba;PR;80250-055;Ativa
48;Beatriz Vieira;Avenida Manoel Ribas;943;Mercês;Curitiba;PR;80810-221;Ativa
49;Priscila Vieira;Avenida Rui Barbosa;4975;Afonso Pena;São José dos Pinhais;PR;83045-118;Ativa
50;Débora Souza;Rua Paraná;4008;Centro;Cascavel;PR;85801-206;Ativa
51;Jéssica Freitas;Rua XV de Novembro;2226;Centro;São José dos Pinhais;PR;83005-072;Ativa
52;Aline Castro;Avenida Higienópolis;5100;Centro;Londrina;PR;86020-116;Ativa
53;Camila Moraes;Avenida Brasil;966;Zona 01;Maringá;PR;87013-083;Ativa
54;Raquel Pereira;Rua Barão do Rio Branco;3048;Centro;Cascavel;PR;85801-238;Ativa
55;Maria Alves;Rua Brigadeiro Franco;2732;Centro;Curitiba;PR;80250-677;Ativa
56;Bianca Castro;Avenida Manoel Ribas;2121;Mercês;Curitiba;PR;80810-378;Ativa
57;Larissa Moreira;Avenida Cândido de Abreu;381;Centro Cívico;Curitiba;PR;80530-815;Ativa
58;Gabriela Gomes;Rua Marechal Hermes;3463;Centro Cívico;Curitiba;PR;80530-526;Ativa
59;Tainá Vieira;Avenida Manoel Ribas;646;Mercês;Curitiba;PR;80810-022;Ativa
60;Elisângela Lopes;Rua Barão do Rio Branco;2348;Centro;Cascavel;PR;85801-826;Ativa
61;Paula Carvalho;Avenida Vicente Machado;1052;Centro;Ponta Grossa;PR;84010-425;Inativa
62;Priscila Carvalho;Avenida Tiradentes;4563;Zona 01;Maringá;PR;87013-347;Ativa
63;Elisângela Oliveira;Rua Balduíno Taques;1273;Centro;Ponta Grossa;PR;84010-655;Ativa
64;Bianca Pereira;Avenida Manoel Ribas;5161;Centro;Guarapuava;PR;85010-875;Ativa
65;Elaine Carvalho;Avenida Rui Barbosa;3921;Afonso Pena;São José dos Pinhais;PR;83045-027;Ativa
66;Cláudia Mendes;Rua XV de Novembro;1426;Centro;Guarapuava;PR;85010-075;Ativa
67;Vanessa Barbosa;Rua XV de Novembro;5799;Centro;Guarapuava;PR;85010-715;Em prospecção
68;Amanda Ribeiro;Rua Marechal Hermes;4896;Centro Cívico;Curitiba;PR;80530-131;Ativa
69;Isabela Nascimento;Rua Izabel A Redentora;4207;Centro;São José dos Pinhais;PR;83005-053;Ativa
70;Patrícia Freitas;Rua Saldanha Marinho;2686;Centro;Guarapuava;PR;85010-175;Ativa
71;Adriana Almeida;Rua Izabel A Redentora;3625;Centro;São José dos Pinhais;PR;83005-681;Ativa
72;Bruna Oliveira;Avenida Higienópolis;1094;Centro;Londrina;PR;86020-046;Ativa
73;Mariana Almeida;Avenida Cândido de Abreu;5377;Centro Cívico;Curitiba;PR;80530-664;Ativa
74;Sabrina Teixeira;Avenida Paraná;943;Centro;Foz do Iguaçu;PR;85852-953;Inativa
